PROCESSDATA	2#CDU.7040-312_LIC63001 Data	yyyy-MM-dd HH:mm:ss
8	60	2024-06-28 14:35:00	126
tagname	LYCDU.CDU.7040-312_LIC63001.MV	LYCDU.CDU.7040-312_LIC63001.PV	LYCDU.CDU.7040-312_LIC63001.SV	LYCDU.CDU.7040-312_LIC63001.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C_630塔底_OP	C_630塔底_PV	C_630塔底_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.0913649999999997	fsMin=0	fsGridNum=10	fdMax=3.0913649999999997tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-28 14:35:00	58.88857	60.03309	60.04307	1	0	0	0	0
2024-06-28 14:36:00	56.40314	59.70045	60.04307	1	0	0	0	0
2024-06-28 14:37:00	56.18132	59.62902	60.04307	1	0	0	0	0
2024-06-28 14:38:00	56.09445	59.67876	60.04307	1	0	0	0	0
2024-06-28 14:39:00	55.83788	59.63643	60.04307	1	0	0	0	0
2024-06-28 14:40:00	56.58093	59.69915	60.04307	1	0	0	0	0
2024-06-28 14:41:00	57.79534	59.9164	60.04307	1	0	0	0	0
2024-06-28 14:42:00	58.74816	60.03771	60.04307	1	0	0	0	0
2024-06-28 14:43:00	57.12737	59.82889	60.04307	1	0	0	0	0
2024-06-28 14:44:00	56.49558	59.77951	60.04307	1	0	0	0	0
2024-06-28 14:45:00	56.69624	59.77378	60.04307	1	0	0	0	0
2024-06-28 14:46:00	57.63601	59.92431	60.04307	1	0	0	0	0
2024-06-28 14:47:00	58.34851	60.05592	60.04307	1	0	0	0	0
2024-06-28 14:48:00	58.1502	60.03135	60.04307	1	0	0	0	0
2024-06-28 14:49:00	57.03825	59.83247	60.04307	1	0	0	0	0
2024-06-28 14:50:00	56.46624	59.73087	60.04307	1	0	0	0	0
2024-06-28 14:51:00	56.47849	59.81754	60.04307	1	0	0	0	0
2024-06-28 14:52:00	58.01785	60.14646	60.04307	1	0	0	0	0
2024-06-28 14:53:00	60.63147	60.40514	60.04307	1	0	0	0	0
2024-06-28 14:54:00	60.57966	60.44496	60.04307	1	0	0	0	0
2024-06-28 14:55:00	61.43529	60.47545	60.04307	1	0	0	0	0
2024-06-28 14:56:00	60.73	60.35669	60.04307	1	0	0	0	0
2024-06-28 14:57:00	58.53225	60.03404	60.04307	1	0	0	0	0
2024-06-28 14:58:00	58.0386	59.8655	60.04307	1	0	0	0	0
2024-06-28 14:59:00	59.23511	60.21041	60.04307	1	0	0	0	0
2024-06-28 15:00:00	58.73433	60.09238	60.04307	1	0	0	0	0
2024-06-28 15:01:00	60.41521	60.39761	60.04307	1	0	0	0	0
2024-06-28 15:02:00	62.07057	60.54975	60.04307	1	0	0	0	0
2024-06-28 15:03:00	61.37415	60.47656	60.04307	1	0	0	0	0
2024-06-28 15:04:00	61.32682	60.5788	60.04307	1	0	0	0	0
2024-06-28 15:05:00	58.48579	60.00444	60.04307	1	0	0	0	0
2024-06-28 15:06:00	56.8392	59.78155	60.04307	1	0	0	0	0
2024-06-28 15:07:00	56.53519	59.86144	60.04307	1	0	0	0	0
2024-06-28 15:08:00	57.63901	59.94677	60.04307	1	0	0	0	0
2024-06-28 15:09:00	58.88007	60.0704	60.04307	1	0	0	0	0
2024-06-28 15:10:00	59.57858	60.19012	60.04307	1	0	0	0	0
2024-06-28 15:11:00	60.08133	60.23786	60.04307	1	0	0	0	0
2024-06-28 15:12:00	57.68182	59.88143	60.04307	1	0	0	0	0
2024-06-28 15:13:00	57.37949	59.83079	60.04307	1	0	0	0	0
2024-06-28 15:14:00	55.54865	59.52024	60.04307	1	0	0	0	0
2024-06-28 15:15:00	56.97868	59.82162	60.04307	1	0	0	0	0
2024-06-28 15:16:00	56.92067	59.7753	60.04307	1	0	0	0	0
2024-06-28 15:17:00	56.79768	59.78222	60.04307	1	0	0	0	0
2024-06-28 15:18:00	56.86538	59.82265	60.04307	1	0	0	0	0
2024-06-28 15:19:00	56.09698	59.66855	60.04307	1	0	0	0	0
2024-06-28 15:20:00	55.96128	59.68306	60.04307	1	0	0	0	0
