PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-04 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6146241691836742	fsMin=0	fsGridNum=10	fdMax=1.6146241691836742tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-04 21:55:00	43.019172	102.3147757	101.72175440000001	1	0	0	0	0
2024-09-04 21:55:10	43.100922749999995	102.1002039	101.93119	1	0	0	0	0
2024-09-04 21:55:20	43.108846	102.137953	102.107216	1	0	0	0	0
2024-09-04 21:55:30	43.115955389999996	102.1567044	102.1883727	1	0	0	0	0
2024-09-04 21:55:40	42.98055275	102.28826249999999	101.9017813	1	0	0	0	0
2024-09-04 21:55:50	42.95972041	102.1142566	101.81852	1	0	0	0	0
2024-09-04 21:56:00	42.771864709999996	102.0064672	101.294594	1	0	0	0	0
2024-09-04 21:56:10	42.67125634	101.8037693	100.9800954	1	0	0	0	0
2024-09-04 21:56:20	42.593461500000004	101.12031289999999	100.4476467	1	0	0	0	0
2024-09-04 21:56:30	42.77911644	101.1747348	101.469482	1	0	0	0	0
2024-09-04 21:56:40	42.7988248	101.1308056	101.307915	1	0	0	0	0
2024-09-04 21:56:50	42.7908403	101.3534949	101.3675248	1	0	0	0	0
2024-09-04 21:57:00	42.82905896	101.2955829	101.3551304	1	0	0	0	0
2024-09-04 21:57:10	42.961266359999996	101.3027766	101.869209	1	0	0	0	0
2024-09-04 21:57:20	43.029247	101.0897472	101.685616	1	0	0	0	0
2024-09-04 21:57:30	42.61974713	101.851244	100.8158866	1	0	0	0	0
2024-09-04 21:57:40	42.3775462	101.6379232	100.2426958	1	0	0	0	0
2024-09-04 21:57:50	42.478881030000004	100.8564709	100.385117	1	0	0	0	0
2024-09-04 21:58:00	42.59140606	100.9544886	101.142639	1	0	0	0	0
2024-09-04 21:58:10	42.68991429	100.7772617	101.140764	1	0	0	0	0
2024-09-04 21:58:20	42.701100499999995	100.6826636	101.0142905	1	0	0	0	0
2024-09-04 21:58:30	42.35752185	101.08699299999999	100.029137	1	0	0	0	0
2024-09-04 21:58:40	42.049694820000006	101.267183	99.60264	1	0	0	0	0
2024-09-04 21:58:50	41.9936667	100.3256565	99.124698	1	0	0	0	0
2024-09-04 21:59:00	41.91654448	99.66071557	98.86471	1	0	0	0	0
2024-09-04 21:59:10	41.79106596	99.57888299999999	98.71001	1	0	0	0	0
2024-09-04 21:59:20	41.89189338	99.522527	99.4557953	1	0	0	0	0
2024-09-04 21:59:30	42.38934997	99.0506614	100.5593385	1	0	0	0	0
2024-09-04 21:59:40	42.682598119999994	99.67589799999999	101.3921207	1	0	0	0	0
2024-09-04 21:59:50	42.64593026	102.2003846	102.44339	1	0	0	0	0
2024-09-04 22:00:00	42.66378518	101.2487677	101.798523	1	0	0	0	0
2024-09-04 22:00:10	42.41716534	101.08934819999999	100.5744957	1	0	0	0	0
2024-09-04 22:00:20	42.20849849	101.0686647	100.060495	1	0	0	0	0
2024-09-04 22:00:30	42.27870136	100.2859017	100.249634	1	0	0	0	0
2024-09-04 22:00:40	42.55686324	99.9001721	100.797928	1	0	0	0	0
2024-09-04 22:00:50	42.515730489999996	99.85103004	100.2831702	1	0	0	0	0
2024-09-04 22:01:00	42.40267978	100.31710910000001	100.1434499	1	0	0	0	0
2024-09-04 22:01:10	42.313040889999996	100.60184190000001	100.098877	1	0	0	0	0
2024-09-04 22:01:20	42.21686534	100.7489704	100.149315	1	0	0	0	0
2024-09-04 22:01:30	42.24713542	100.6171405	100.2422634	1	0	0	0	0
