PROCESSDATA	2111FIC40102E Data	yyyy-MM-dd HH:mm:ss
8	10	2025-02-24 21:55:00	751
tagname	2111FIC40102E.MV	2111FIC40102E.PV	2111FIC40102E.SV	2111FIC40102E.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401五路支管_OP	常底油进F401五路支管_PV	常底油进F401五路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=21.93758230263158	fsMin=0	fsGridNum=10	fdMax=21.93758230263158tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2025-02-24 21:55:00	42.354907726	100.78663762000001	101.029722	1	1	1	1	1
2025-02-24 21:55:10	42.189673488000004	100.93745315999999	100.61853	1	0	0	0	0
2025-02-24 21:55:20	42.2702546875	100.744145171875	100.75805784375	1	0	0	0	0
2025-02-24 21:55:30	42.474651599999994	100.19498433999999	100.8206	1	0	0	0	0
2025-02-24 21:55:40	42.506218600000004	99.48414199999999	100.28784826	1	0	0	0	0
2025-02-24 21:55:50	42.02448321	100.6792738	99.62633	1	0	0	0	0
2025-02-24 21:56:00	41.706685754	100.09107374	98.10635	1	0	0	0	0
2025-02-24 21:56:10	41.557477026	99.61444900000001	97.7402702	1	0	0	0	0
2025-02-24 21:56:20	41.49872028888889	98.78523444444444	97.55464277777777	1	0	0	0	0
2025-02-24 21:56:30	41.329025222	98.1482498	97.06810352	1	0	0	0	0
2025-02-24 21:56:40	41.409373336	97.580372664	97.40928	1	0	0	0	0
2025-02-24 21:56:50	41.060380332	98.96061912399999	97.6159094	1	0	0	0	0
2025-02-24 21:57:00	41.179482400000005	98.2755006	97.780964	1	0	0	0	0
2025-02-24 21:57:10	41.232879584	98.0231194	98.0652847	1	0	0	0	0
2025-02-24 21:57:20	41.145253125	98.359413125	98.1525265625	1	0	0	0	0
2025-02-24 21:57:30	41.36452	98.5359566	99.06522	1	0	0	0	0
2025-02-24 21:57:40	41.595643777999996	98.91613939999999	99.52448	1	0	0	0	0
2025-02-24 21:57:50	41.677777246000005	99.007663688	99.628334	1	0	0	0	0
2025-02-24 21:58:00	41.736877394000004	98.8378106	99.3471392	1	0	0	0	0
2025-02-24 21:58:10	41.642830534375	98.89719890625	98.94238796875	1	0	0	0	0
2025-02-24 21:58:20	41.618776412	98.996071	98.99682779999999	1	0	0	0	0
2025-02-24 21:58:30	41.543269534	99.077696664	98.84957	1	0	0	0	0
2025-02-24 21:58:40	41.461516829999994	99.1795162	98.75113715399999	1	0	0	0	0
2025-02-24 21:58:50	41.471141838	98.618259	98.471370146	1	0	0	0	0
2025-02-24 21:59:00	42.086749956	98.58973160000001	100.624664	1	0	0	0	0
2025-02-24 21:59:10	42.02964171875	99.74811546875	100.866949828125	1	0	0	0	0
2025-02-24 21:59:20	41.731905158000004	99.94308724000001	99.55933	1	0	0	0	0
2025-02-24 21:59:30	41.920246418	99.0830296	99.429355	1	0	0	0	0
2025-02-24 21:59:40	42.336392476	99.824030432	101.524429	1	0	0	0	0
2025-02-24 21:59:50	42.523936638	99.89282366	101.531258	1	0	0	0	0
2025-02-24 22:00:00	42.523936638	99.89282366	101.531258	1	1	1	1	1
2025-02-24 22:00:10	41.9058551765625	100.36527103125	99.44901801249999	1	0	0	0	0
2025-02-24 22:00:20	41.951261362	99.58422399999999	99.2957152	1	0	0	0	0
2025-02-24 22:00:30	41.768109984	100.01978538	99.25479	1	0	0	0	0
2025-02-24 22:00:40	41.872741156	98.9524494	98.856667504	1	0	0	0	0
2025-02-24 22:00:50	41.83783471	99.3362944	99.145070924	1	0	0	0	0
2025-02-24 22:01:00	41.849304599999996	99.4880814	99.32242	1	0	0	0	0
2025-02-24 22:01:10	41.615059201562495	100.09540690624999	99.20740894375	1	0	0	0	0
2025-02-24 22:01:20	41.615059201562495	100.09540690624999	99.20740894375	1	1	1	1	1
2025-02-24 22:01:30	41.578223658	99.237975	98.5263062	1	0	0	0	0
2025-02-24 22:01:40	41.574562348	99.1831494	98.75230660000001	1	0	0	0	0
2025-02-24 22:01:50	42.069250648	99.1429794	100.636276	1	0	0	0	0
2025-02-24 22:02:00	41.876828118	100.29628292000001	100.488892	1	0	0	0	0
2025-02-24 22:02:10	42.00721253	99.75021100000001	100.193338	1	0	0	0	0
2025-02-24 22:02:20	41.904995666666665	100.05249266666667	99.92908754999999	1	0	0	0	0
2025-02-24 22:02:30	41.731421448	99.9105494	99.16229311800001	1	0	0	0	0
2025-02-24 22:02:40	41.8160456	98.96439099999999	98.56655	1	0	0	0	0
2025-02-24 22:02:50	41.7266744	99.3607676	98.86508236	1	0	0	0	0
2025-02-24 22:03:00	41.845148668	98.8229128	98.933358746	1	0	0	0	0
2025-02-24 22:03:10	41.71579832	99.081737488	98.81094	1	0	0	0	0
2025-02-24 22:03:20	41.7254235921875	99.1281765453125	99.09683685	1	0	0	0	0
2025-02-24 22:03:30	41.677590445999996	99.2051522	99.00742	1	0	0	0	0
2025-02-24 22:03:40	41.806877	98.7498614	99.06464279999999	1	0	0	0	0
2025-02-24 22:03:50	41.820171982	98.9146776	99.33323	1	0	0	0	0
2025-02-24 22:04:00	41.911045146	99.212154112	99.7387161	1	0	0	0	0
2025-02-24 22:04:10	41.874447416	99.450477042	99.71450272199999	1	0	0	0	0
2025-02-24 22:04:20	41.99196666666666	99.41771722222222	99.97887078333333	1	0	0	0	0
2025-02-24 22:04:30	42.0902	99.47334	100.174759	1	0	0	0	0
2025-02-24 22:04:40	42.275395848	99.56563132000001	100.576965	1	0	0	0	0
2025-02-24 22:04:50	42.035591818	100.16797946	100.04355764	1	0	0	0	0
2025-02-24 22:05:00	42.035591818	100.16797946	100.04355764	1	1	1	1	1
2025-02-24 22:05:10	41.999785396	99.619670052	99.52286	1	0	0	0	0
2025-02-24 22:05:20	41.999785396	99.619670052	99.52286	1	1	1	1	1
2025-02-24 22:05:30	41.8903275	100.118973	99.66751	1	0	0	0	0
2025-02-24 22:05:40	41.913549688	100.010188492	99.79086319999999	1	0	0	0	0
2025-02-24 22:05:50	42.031795868	99.8565988	100.06852	1	0	0	0	0
2025-02-24 22:06:00	42.185798999999996	99.3759202	100.05162	1	0	0	0	0
2025-02-24 22:06:10	41.966078089999996	100.2994614	99.9340082	1	0	0	0	0
2025-02-24 22:06:20	42.03498590555556	99.82998363333333	99.84335666666666	1	0	0	0	0
2025-02-24 22:06:30	41.970192	99.7862854	99.66562	1	0	0	0	0
2025-02-24 22:06:40	41.990092534	99.3848026	99.50795	1	0	0	0	0
2025-02-24 22:06:50	41.888576698	99.855399506	99.4931732	1	0	0	0	0
2025-02-24 22:07:00	42.042347219999996	99.075145	99.4820676	1	0	0	0	0
2025-02-24 22:07:10	41.981561156000005	99.64997690000001	99.7398453	1	0	0	0	0
2025-02-24 22:07:20	42.09973821111111	99.73110905555555	100.28998922222223	1	0	0	0	0
2025-02-24 22:07:30	42.038475	100.3359	100.4051	1	0	0	0	0
2025-02-24 22:07:40	42.098911801999996	99.8962513	100.11718993999999	1	0	0	0	0
2025-02-24 22:07:50	42.132786148	100.17707112	100.2496	1	0	0	0	0
2025-02-24 22:08:00	42.16370236	99.8158048	99.80446869400001	1	0	0	0	0
2025-02-24 22:08:10	42.14877613888889	99.9970533111111	99.95647392222222	1	0	0	0	0
2025-02-24 22:08:20	42.04264	100.104706	99.6766357	1	0	0	0	0
2025-02-24 22:08:30	42.073826396	99.962792196	99.90684	1	0	0	0	0
2025-02-24 22:08:40	42.097557702	99.818398	99.9418106	1	0	0	0	0
2025-02-24 22:08:50	42.123388240000004	99.781738628	99.867042736	1	0	0	0	0
2025-02-24 22:09:00	42.135140971999995	100.0120843	100.103867	1	0	0	0	0
2025-02-24 22:09:10	42.088396466666666	99.94221666666667	99.66371055555555	1	0	0	0	0
2025-02-24 22:09:20	41.990256666	100.18691240000001	99.74821	1	0	0	0	0
2025-02-24 22:09:30	42.042110222000005	100.13592530000001	99.84038944000001	1	0	0	0	0
2025-02-24 22:09:40	42.102860476	99.85497184	99.79895	1	0	0	0	0
2025-02-24 22:09:50	41.9932054	99.9514618	99.64955	1	0	0	0	0
2025-02-24 22:10:00	41.9932054	99.9514618	99.64955	1	1	1	1	1
2025-02-24 22:10:10	42.06644505	98.57813696666666	98.93882944444445	1	0	0	0	0
2025-02-24 22:10:20	41.73372138461538	99.25729953653847	98.70521788461538	1	0	0	0	0
2025-02-24 22:10:30	41.795843	99.060216	99.13819	1	0	0	0	0
2025-02-24 22:10:40	41.826237538	99.5976932	99.68301338	1	0	0	0	0
2025-02-24 22:10:50	42.108354129999995	100.10832628	100.8921667	1	0	0	0	0
2025-02-24 22:11:00	42.7093388	101.44041892	103.692627	1	0	0	0	0
2025-02-24 22:11:10	42.95801505	101.44041892	103.74952811111112	1	0	1	0	1
2025-02-24 22:11:20	42.95801505	101.71227894444445	103.74952811111112	1	1	0	1	0
2025-02-24 22:11:30	43.05886	101.844658	103.272	1	0	0	0	0
2025-02-24 22:11:40	43.122114509999996	101.82266382	102.90576816	1	0	0	0	0
