PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-26 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.954744296500003	fsMin=0	fsGridNum=10	fdMax=1.954744296500003tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-26 21:55:00	60.830903368	48.246323696	47.98181	1	0	0	0	0
2024-08-26 21:55:10	61.350664918	48.017675296	47.98181	1	0	0	0	0
2024-08-26 21:55:20	61.819037200000004	47.7860188	47.98181	1	0	0	0	0
2024-08-26 21:55:30	62.2470322	47.5519988	47.98181	1	0	0	0	0
2024-08-26 21:55:40	62.515781876	47.427302924	47.98181	1	0	0	0	0
2024-08-26 21:55:50	62.659410226	47.388504574	47.98181	1	0	0	0	0
2024-08-26 21:56:00	62.571517524	47.472100776	47.98181	1	0	0	0	0
2024-08-26 21:56:10	62.301715424	47.651864126	47.98181	1	0	0	0	0
2024-08-26 21:56:20	61.9027778	47.848222208	47.98181	1	0	0	0	0
2024-08-26 21:56:30	61.40237655	48.057619007999996	47.98181	1	0	0	0	0
2024-08-26 21:56:40	61.002421632	48.250633791999995	47.98181	1	0	0	0	0
2024-08-26 21:56:50	60.681388832	48.430776992	47.98181	1	0	0	0	0
2024-08-26 21:57:00	60.373454768	48.57443034	47.98181	1	0	0	0	0
2024-08-26 21:57:10	60.075812568	48.68941309	47.98181	1	0	0	0	0
2024-08-26 21:57:20	59.94485	48.7400055	47.98181	1	0	0	0	0
2024-08-26 21:57:30	60.19752784810127	48.56341255696203	47.98181	1	0	0	0	0
2024-08-26 21:57:40	60.751285436	48.195861576000006	47.98181	1	0	0	0	0
2024-08-26 21:57:50	61.172902286	47.935953676000004	47.98181	1	0	0	0	0
2024-08-26 21:58:00	61.721063064	47.674073624	47.98181	1	0	0	0	0
2024-08-26 21:58:10	62.368651214	47.410644024	47.98181	1	0	0	0	0
2024-08-26 21:58:20	62.682145324000004	47.31101	47.98181	1	0	0	0	0
2024-08-26 21:58:30	62.733136974000004	47.3400725	47.98181	1	0	0	0	0
2024-08-26 21:58:40	62.573236376000004	47.474118704	47.98181	1	0	0	0	0
2024-08-26 21:58:50	62.247634726	47.690652104	47.98181	1	0	0	0	0
2024-08-26 21:59:00	61.758632888	47.929942896	47.98181	1	0	0	0	0
2024-08-26 21:59:10	61.141245188	48.187114496	47.98181	1	0	0	0	0
2024-08-26 21:59:20	60.706689312	48.389266459999995	47.98181	1	0	0	0	0
2024-08-26 21:59:30	60.415787012	48.54818871	47.98181	1	0	0	0	0
2024-08-26 21:59:40	60.25024424	48.613542968	47.98181	1	0	0	0	0
2024-08-26 21:59:50	60.183198239999996	48.605379518	47.98181	1	0	0	0	0
2024-08-26 22:00:00	60.35037056	48.483112512	47.98181	1	0	0	0	0
2024-08-26 22:00:10	60.70157156	48.271192712	47.98181	1	0	0	0	0
2024-08-26 22:00:20	61.227805599999996	48.0191481	47.98181	1	0	0	0	0
2024-08-26 22:00:30	61.8915656	47.73557685	47.98181	1	0	0	0	0
2024-08-26 22:00:40	62.372805752	47.512575227999996	47.98181	1	0	0	0	0
2024-08-26 22:00:50	62.710637452	47.337164028	47.98181	1	0	0	0	0
2024-08-26 22:01:00	62.750859028	47.326277832	47.98181	1	0	0	0	0
2024-08-26 22:01:10	62.557244078000004	47.444661282	47.98181	1	0	0	0	0
2024-08-26 22:01:20	62.280981584	47.614631428	47.98181	1	0	0	0	0
2024-08-26 22:01:30	61.939781734	47.825133978000004	47.98181	1	0	0	0	0
2024-08-26 22:01:40	61.587619800000006	48.033220072	47.98181	1	0	0	0	0
2024-08-26 22:01:50	61.2268448	48.239407522	47.98181	1	0	0	0	0
2024-08-26 22:02:00	60.882634124000006	48.393232536	47.98181	1	0	0	0	0
2024-08-26 22:02:10	60.551438274000006	48.505915636	47.98181	1	0	0	0	0
2024-08-26 22:02:20	60.439233112000004	48.524159664	47.98181	1	0	0	0	0
2024-08-26 22:02:30	60.499092062	48.468201564	47.98181	1	0	0	0	0
2024-08-26 22:02:40	60.7151132	48.328744971999996	47.98181	1	0	0	0	0
2024-08-26 22:02:50	61.0538332	48.123682422	47.98181	1	0	0	0	0
2024-08-26 22:03:00	61.519395104	47.896051928	47.98181	1	0	0	0	0
2024-08-26 22:03:10	62.084618504	47.650689478	47.98181	1	0	0	0	0
2024-08-26 22:03:20	62.474555296	47.4803236	47.98181	1	0	0	0	0
2024-08-26 22:03:30	62.726766895999994	47.368883600000004	47.98181	1	0	0	0	0
2024-08-26 22:03:40	62.732190444	47.4101668	47.98181	1	0	0	0	0
2024-08-26 22:03:50	62.54370909399999	47.5714468	47.98181	1	0	0	0	0
2024-08-26 22:04:00	62.190639655999995	47.76330364	47.98181	1	0	0	0	0
2024-08-26 22:04:10	61.708251006	47.97918514	47.98181	1	0	0	0	0
2024-08-26 22:04:20	61.2218156	48.184697288	47.98181	1	0	0	0	0
2024-08-26 22:04:30	60.7322006	48.382062088	47.98181	1	0	0	0	0
2024-08-26 22:04:40	60.4433946	48.505903172	47.98181	1	0	0	0	0
2024-08-26 22:04:50	60.312367099999996	48.571975622	47.98181	1	0	0	0	0
2024-08-26 22:05:00	60.413778799999996	48.514168092	47.98181	1	0	0	0	0
2024-08-26 22:05:10	60.6978213	48.359026292	47.98181	1	0	0	0	0
2024-08-26 22:05:20	61.043093332	48.154059024	47.98181	1	0	0	0	0
2024-08-26 22:05:30	61.436474282	47.909943174	47.98181	1	0	0	0	0
2024-08-26 22:05:40	61.851399216000004	47.665509048000004	47.98181	1	0	0	0	0
2024-08-26 22:05:50	62.283251566000004	47.420824848	47.98181	1	0	0	0	0
2024-08-26 22:06:00	62.590726152	47.322285136	47.98181	1	0	0	0	0
2024-08-26 22:06:10	62.800475352	47.338573236	47.98181	1	0	0	0	0
2024-08-26 22:06:20	62.632078672	47.462246096	47.98181	1	0	0	0	0
2024-08-26 22:06:30	62.166567371999996	47.670292696	47.98181	1	0	0	0	0
2024-08-26 22:06:40	61.718990128	47.910643904	47.98181	1	0	0	0	0
2024-08-26 22:06:50	61.285503928	48.176377304	47.98181	1	0	0	0	0
2024-08-26 22:07:00	60.838207231999995	48.389195548000004	47.98181	1	0	0	0	0
2024-08-26 22:07:10	60.380059431999996	48.560437598	47.98181	1	0	0	0	0
2024-08-26 22:07:20	60.143508587999996	48.634998952000004	47.98181	1	0	0	0	0
2024-08-26 22:07:30	60.081069637999995	48.633596902	47.98181	1	0	0	0	0
2024-08-26 22:07:40	60.21792948	48.514917048	47.98181	1	0	0	0	0
2024-08-26 22:07:50	60.511381230000005	48.304090348	47.98181	1	0	0	0	0
2024-08-26 22:08:00	61.034923736	48.026922352	47.98181	1	0	0	0	0
2024-08-26 22:08:10	61.739251836	47.697629051999996	47.98181	1	0	0	0	0
2024-08-26 22:08:20	62.351845663999995	47.4423668	47.98181	1	0	0	0	0
2024-08-26 22:08:30	62.892362563999995	47.2452718	47.98181	1	0	0	0	0
2024-08-26 22:08:40	63.01448	47.24593898	47.98181	1	0	0	0	0
2024-08-26 22:08:50	62.807855	47.401990729999994	47.98181	1	0	0	0	0
2024-08-26 22:09:00	62.383360656	47.61329068	47.98181	1	0	0	0	0
2024-08-26 22:09:10	61.787683256	47.867999929999996	47.98181	1	0	0	0	0
2024-08-26 22:09:20	61.292498948	48.119178240000004	47.98181	1	0	0	0	0
2024-08-26 22:09:30	60.876273497999996	48.367582240000004	47.98181	1	0	0	0	0
2024-08-26 22:09:40	60.539970296	48.524142796	47.98181	1	0	0	0	0
2024-08-26 22:09:50	60.266463146	48.608540646	47.98181	1	0	0	0	0
2024-08-26 22:10:00	60.257860356	48.562256504	47.98181	1	0	0	0	0
2024-08-26 22:10:10	60.457396706000004	48.413293654	47.98181	1	0	0	0	0
2024-08-26 22:10:20	60.881022012	48.204055847999996	47.98181	1	0	0	0	0
2024-08-26 22:10:30	61.480717212	47.947459148	47.98181	1	0	0	0	0
2024-08-26 22:10:40	62.009419084	47.676356992	47.98181	1	0	0	0	0
2024-08-26 22:10:50	62.482340484	47.393857692000005	47.98181	1	0	0	0	0
2024-08-26 22:11:00	62.729982648000004	47.28431176	47.98181	1	0	0	0	0
2024-08-26 22:11:10	62.800619698	47.31065776	47.98181	1	0	0	0	0
2024-08-26 22:11:20	62.635491316	47.454540451999996	47.98181	1	0	0	0	0
2024-08-26 22:11:30	62.285118665999995	47.690773402	47.98181	1	0	0	0	0
2024-08-26 22:11:40	61.764584584	47.944812784	47.98181	1	0	0	0	0
2024-08-26 22:11:50	61.110352234000004	48.212842934	47.98181	1	0	0	0	0
2024-08-26 22:12:00	60.650832332	48.42868926	47.98181	1	0	0	0	0
2024-08-26 22:12:10	60.344300782	48.60353401	47.98181	1	0	0	0	0
2024-08-26 22:12:20	60.21628312	48.656379707999996	47.98181	1	0	0	0	0
2024-08-26 22:12:30	60.22852637	48.613369008	47.98181	1	0	0	0	0
2024-08-26 22:12:40	60.441711648	48.455846736	47.98181	1	0	0	0	0
2024-08-26 22:12:50	60.812779948	48.208351086	47.98181	1	0	0	0	0
2024-08-26 22:13:00	61.3491864	47.94745696	47.98181	1	0	0	0	0
2024-08-26 22:13:10	62.015501400000005	47.67603546	47.98181	1	0	0	0	0
2024-08-26 22:13:20	62.4958572	47.469590676	47.98181	1	0	0	0	0
2024-08-26 22:13:30	62.8301022	47.314199026000004	47.98181	1	0	0	0	0
2024-08-26 22:13:40	62.817126536	47.327806696	47.98181	1	0	0	0	0
2024-08-26 22:13:50	62.531334636000004	47.474199546	47.98181	1	0	0	0	0
2024-08-26 22:14:00	62.176119816	47.681705728	47.98181	1	0	0	0	0
2024-08-26 22:14:10	61.766358416	47.937229528	47.98181	1	0	0	0	0
2024-08-26 22:14:20	61.274467248	48.17500004	47.98181	1	0	0	0	0
2024-08-26 22:14:30	60.718045548	48.39882154	47.98181	1	0	0	0	0
2024-08-26 22:14:40	60.371586944	48.548568256	47.98181	1	0	0	0	0
2024-08-26 22:14:50	60.190099344	48.640113356	47.98181	1	0	0	0	0
2024-08-26 22:15:00	60.235109455999996	48.609281292	47.98181	1	0	0	0	0
2024-08-26 22:15:10	60.458082056	48.482295742000005	47.98181	1	0	0	0	0
2024-08-26 22:15:20	60.79916	48.276754596	47.98181	1	0	0	0	0
2024-08-26 22:15:30	61.233035	48.009491196	47.98181	1	0	0	0	0
2024-08-26 22:15:40	61.7581872	47.755433016000005	47.98181	1	0	0	0	0
2024-08-26 22:15:50	62.3550572	47.511750366	47.98181	1	0	0	0	0
