PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-11-08 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.9551340275000015	fsMin=0	fsGridNum=10	fdMax=1.9551340275000015tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-11-08 21:55:00	62.548416939999996	47.533839802500005	47.98181	1	0	0	0	0
2024-11-08 21:55:10	62.26627334	47.7221429525	47.98181	1	0	0	0	0
2024-11-08 21:55:20	61.91251225	47.91589737	47.98181	1	0	0	0	0
2024-11-08 21:55:30	61.42574725	48.11977557	47.98181	1	0	0	0	0
2024-11-08 21:55:40	60.9897795	48.3105400575	47.98181	1	0	0	0	0
2024-11-08 21:55:50	60.6481495	48.4769505075	47.98181	1	0	0	0	0
2024-11-08 21:56:00	60.3903529175	48.5793795225	47.98181	1	0	0	0	0
2024-11-08 21:56:10	60.2882469675	48.5629858725	47.98181	1	0	0	0	0
2024-11-08 21:56:20	60.3178449325	48.481342999999995	47.98181	1	0	0	0	0
2024-11-08 21:56:30	60.5920358825	48.278523	47.98181	1	0	0	0	0
2024-11-08 21:56:40	60.980106	48.0621113625	47.98181	1	0	0	0	0
2024-11-08 21:56:50	61.579666	47.8204581125	47.98181	1	0	0	0	0
2024-11-08 21:57:00	62.0955276475	47.60119382	47.98181	1	0	0	0	0
2024-11-08 21:57:10	62.4559494975	47.42350902	47.98181	1	0	0	0	0
2024-11-08 21:57:20	62.662775142499996	47.3454233	47.98181	1	0	0	0	0
2024-11-08 21:57:30	62.584350692499996	47.4523073	47.98181	1	0	0	0	0
2024-11-08 21:57:40	62.36616451144278	47.59661108159204	47.98181	1	0	0	0	0
2024-11-08 21:57:50	61.888420829850745	47.81040874328358	47.98181	1	0	0	0	0
2024-11-08 21:58:00	61.4631396482412	48.01997732663317	47.98181	1	0	0	0	0
2024-11-08 21:58:10	61.13969743718593	48.221336522613065	47.98181	1	0	0	0	0
2024-11-08 21:58:20	60.8433145	48.389077747500004	47.98181	1	0	0	0	0
2024-11-08 21:58:30	60.5971845	48.4943855975	47.98181	1	0	0	0	0
2024-11-08 21:58:40	60.44998283582089	48.535117180099505	47.98181	1	0	0	0	0
2024-11-08 21:58:50	60.4865052238806	48.45592140895523	47.98181	1	0	0	0	0
2024-11-08 21:59:00	60.67570055376884	48.32883045025126	47.98181	1	0	0	0	0
