PROCESSDATA	2411PDIC10321 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-15 21:55:00	751
tagname	2411PDIC10321.MV	2411PDIC10321.PV	2411PDIC10321.SV	2411PDIC10321.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	再生器再生滑阀差压_OP	再生器再生滑阀差压_PV	再生器再生滑阀差压_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.6755869240000045	fsMin=0	fsGridNum=10	fdMax=3.6755869240000045tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-15 21:55:00	62.8362848	65.6207308	15	1	0	0	0	0
2024-10-15 21:55:10	62.982449792	65.944116992	15	1	0	0	0	0
2024-10-15 21:55:20	62.731065544	65.53147628800001	15	1	0	0	0	0
2024-10-15 21:55:30	61.385481992	62.972156	15	1	0	0	0	0
2024-10-15 21:55:40	62.1012059	64.23219	15	1	0	0	0	0
2024-10-15 21:55:50	63.57215336	67.09851264	15	1	0	0	0	0
2024-10-15 21:56:00	62.547965296	65.29829254799999	15	1	0	0	0	0
2024-10-15 21:56:10	62.5160307	65.364934	15	1	0	0	0	0
2024-10-15 21:56:20	62.447085424	65.3110456	15	1	0	0	0	0
2024-10-15 21:56:30	63.210996864	66.81257088	15	1	0	0	0	0
2024-10-15 21:56:40	63.1445161	66.74528287999999	15	1	0	0	0	0
2024-10-15 21:56:50	62.439316864	65.355575184	15	1	0	0	0	0
2024-10-15 21:57:00	62.224681412	64.834195836	15	1	0	0	0	0
2024-10-15 21:57:10	62.713886392	65.70455	15	1	0	0	0	0
2024-10-15 21:57:20	62.887019376000005	66.076953452	15	1	0	0	0	0
2024-10-15 21:57:30	62.257227008	64.8742776	15	1	0	0	0	0
2024-10-15 21:57:40	62.412172928	65.1312556	15	1	0	0	0	0
2024-10-15 21:57:50	62.475955196	65.191694	15	1	0	0	0	0
2024-10-15 21:58:00	62.683326228	65.5716312	15	1	0	0	0	0
2024-10-15 21:58:10	62.305027504	64.817015904	15	1	0	0	0	0
2024-10-15 21:58:20	62.031138000000006	64.2299484	15	1	0	0	0	0
2024-10-15 21:58:30	61.756565544	63.709320056	15	1	0	0	0	0
2024-10-15 21:58:40	62.52662128	65.1848152	15	1	0	0	0	0
2024-10-15 21:58:50	61.9483236	64.125931104	15	1	0	0	0	0
2024-10-15 21:59:00	62.135278176	64.49362984	15	1	0	0	0	0
2024-10-15 21:59:10	61.866041448000004	63.949203292	15	1	0	0	0	0
2024-10-15 21:59:20	62.298336792	64.6717484	15	1	0	0	0	0
2024-10-15 21:59:30	62.328149784	64.66217639999999	15	1	0	0	0	0
2024-10-15 21:59:40	62.7137648	65.36606880000001	15	1	0	0	0	0
2024-10-15 21:59:50	62.934454412	65.857251732	15	1	0	0	0	0
2024-10-15 22:00:00	62.841851903999995	65.6573704	15	1	0	0	0	0
2024-10-15 22:00:10	62.569957452	65.044478384	15	1	0	0	0	0
2024-10-15 22:00:20	63.024929176	65.84366080000001	15	1	0	0	0	0
2024-10-15 22:00:30	63.239039315999996	66.2135168	15	1	0	0	0	0
2024-10-15 22:00:40	63.169554756	66.043158832	15	1	0	0	0	0
2024-10-15 22:00:50	63.543344592	66.771264	15	1	0	0	0	0
2024-10-15 22:01:00	62.299666	64.5186008	15	1	0	0	0	0
2024-10-15 22:01:10	61.778791999999996	63.553670344	15	1	0	0	0	0
2024-10-15 22:01:20	63.05275102	65.992870948	15	1	0	0	0	0
2024-10-15 22:01:30	63.628731248	67.1041244	15	1	0	0	0	0
2024-10-15 22:01:40	64.5833196	68.958866	15	1	0	0	0	0
2024-10-15 22:01:50	65.0108536	69.7875732	15	1	0	0	0	0
2024-10-15 22:02:00	64.728390288	69.289029844	15	1	0	0	0	0
2024-10-15 22:02:10	63.207418700000005	66.38748234	15	1	0	0	0	0
2024-10-15 22:02:20	62.613926384	65.1690956	15	1	0	0	0	0
2024-10-15 22:02:30	63.454311512000004	66.710300928	15	1	0	0	0	0
2024-10-15 22:02:40	63.096913576	65.9888809	15	1	0	0	0	0
2024-10-15 22:02:50	63.119291272000005	65.9348708	15	1	0	0	0	0
2024-10-15 22:03:00	63.082248524	65.7284224	15	1	0	0	0	0
2024-10-15 22:03:10	62.796944112	65.135050768	15	1	0	0	0	0
2024-10-15 22:03:20	63.191116784	65.8708564	15	1	0	0	0	0
2024-10-15 22:03:30	62.931239856	65.351107008	15	1	0	0	0	0
2024-10-15 22:03:40	63.22299898	65.8918712	15	1	0	0	0	0
2024-10-15 22:03:50	63.051330248	65.548820256	15	1	0	0	0	0
2024-10-15 22:04:00	63.211798552000005	65.8645312	15	1	0	0	0	0
2024-10-15 22:04:10	63.779922060000004	66.9942092	15	1	0	0	0	0
2024-10-15 22:04:20	63.54354264	66.6526856	15	1	0	0	0	0
2024-10-15 22:04:30	63.8405264	67.3017036	15	1	0	0	0	0
2024-10-15 22:04:40	63.872866703999996	67.4308492	15	1	0	0	0	0
2024-10-15 22:04:50	63.683193064	67.0960672	15	1	0	0	0	0
2024-10-15 22:05:00	63.786112256	67.2292956	15	1	0	0	0	0
2024-10-15 22:05:10	63.281142584	66.2065784	15	1	0	0	0	0
2024-10-15 22:05:20	64.52801393137254	68.45633588235295	15	1	0	0	0	0
2024-10-15 22:05:30	63.360317844	66.20266840000001	15	1	0	0	0	0
2024-10-15 22:05:40	63.538631007999996	66.47681665200001	15	1	0	0	0	0
2024-10-15 22:05:50	64.0711148	67.49805119999999	15	1	0	0	0	0
2024-10-15 22:06:00	63.886300332	67.139998652	15	1	0	0	0	0
2024-10-15 22:06:10	64.575322872	68.4952476	15	1	0	0	0	0
2024-10-15 22:06:20	64.134475592	67.6703728	15	1	0	0	0	0
2024-10-15 22:06:30	64.3112936	68.013670044	15	1	0	0	0	0
2024-10-15 22:06:40	63.982032288000006	67.397925712	15	1	0	0	0	0
2024-10-15 22:06:50	64.7779916	68.8475176	15	1	0	0	0	0
2024-10-15 22:07:00	64.554343056	68.3296508	15	1	0	0	0	0
2024-10-15 22:07:10	64.7274224	68.567029584	15	1	0	0	0	0
2024-10-15 22:07:20	64.6538964	68.3399144	15	1	0	0	0	0
2024-10-15 22:07:30	64.1998032	67.439830316	15	1	0	0	0	0
2024-10-15 22:07:40	64.272787628	67.519007728	15	1	0	0	0	0
2024-10-15 22:07:50	64.184256064	67.33541240000001	15	1	0	0	0	0
2024-10-15 22:08:00	63.5582792	66.1722118	15	1	0	0	0	0
2024-10-15 22:08:10	64.6905872	68.34339060799999	15	1	0	0	0	0
2024-10-15 22:08:20	64.55763519999999	68.15010864	15	1	0	0	0	0
2024-10-15 22:08:30	64.36719360000001	67.78868572799999	15	1	0	0	0	0
2024-10-15 22:08:40	64.801366028	68.59503919999999	15	1	0	0	0	0
2024-10-15 22:08:50	64.6263888	68.325812544	15	1	0	0	0	0
2024-10-15 22:09:00	63.810134708	66.85275145600001	15	1	0	0	0	0
2024-10-15 22:09:10	64.746781312	68.5956204	15	1	0	0	0	0
2024-10-15 22:09:20	64.288213748	67.737936424	15	1	0	0	0	0
2024-10-15 22:09:30	64.19685439999999	67.5844872	15	1	0	0	0	0
2024-10-15 22:09:40	62.4530072	64.30161546800001	15	1	0	0	0	0
2024-10-15 22:09:50	63.52119116	66.327654	15	1	0	0	0	0
2024-10-15 22:10:00	63.6926884	66.739054	15	1	0	0	0	0
2024-10-15 22:10:10	62.709818848	64.911613152	15	1	0	0	0	0
2024-10-15 22:10:20	63.591651472	66.5996704	15	1	0	0	0	0
2024-10-15 22:10:30	62.949033572	65.40723320000001	15	1	0	0	0	0
2024-10-15 22:10:40	64.20405808	67.78571208	15	1	0	0	0	0
2024-10-15 22:10:50	63.907234736	67.2765356	15	1	0	0	0	0
2024-10-15 22:11:00	63.6178616	66.800096268	15	1	0	0	0	0
2024-10-15 22:11:10	63.7018097	67.0578764	15	1	0	0	0	0
2024-10-15 22:11:20	63.06554566	65.956062416	15	1	0	0	0	0
2024-10-15 22:11:30	61.970339380000006	63.888748272	15	1	0	0	0	0
2024-10-15 22:11:40	62.635463692	65.080116864	15	1	0	0	0	0
2024-10-15 22:11:50	62.916514976	65.508190912	15	1	0	0	0	0
2024-10-15 22:12:00	62.828307348	65.3061512	15	1	0	0	0	0
2024-10-15 22:12:10	63.781173312	67.048918	15	1	0	0	0	0
2024-10-15 22:12:20	63.413016408000004	66.3378776	15	1	0	0	0	0
2024-10-15 22:12:30	63.480504464	66.464657852	15	1	0	0	0	0
2024-10-15 22:12:40	62.76832562	65.1032	15	1	0	0	0	0
2024-10-15 22:12:50	63.69800488	66.829356	15	1	0	0	0	0
2024-10-15 22:13:00	63.56152542	66.61786944	15	1	0	0	0	0
2024-10-15 22:13:10	63.278906288	66.1155764	15	1	0	0	0	0
2024-10-15 22:13:20	63.38526376811594	66.29957231884059	15	1	0	0	0	0
2024-10-15 22:13:30	63.12287691463415	65.76691476829268	15	1	0	0	0	0
2024-10-15 22:13:40	62.724635464	64.93438	15	1	0	0	0	0
2024-10-15 22:13:50	61.961539148	63.423074544	15	1	0	0	0	0
2024-10-15 22:14:00	61.751411424	62.997865184	15	1	0	0	0	0
2024-10-15 22:14:10	63.090980528	65.5172664	15	1	0	0	0	0
2024-10-15 22:14:20	62.866440116	65.1328632	15	1	0	0	0	0
2024-10-15 22:14:30	62.246951432	63.9776096	15	1	0	0	0	0
2024-10-15 22:14:40	62.4238628	64.29917879999999	15	1	0	0	0	0
2024-10-15 22:14:50	62.001870272	63.5009504	15	1	0	0	0	0
2024-10-15 22:15:00	62.050818768	63.549965296	15	1	0	0	0	0
2024-10-15 22:15:10	63.268731448000004	65.865222532	15	1	0	0	0	0
2024-10-15 22:15:20	63.072953632	65.549114	15	1	0	0	0	0
2024-10-15 22:15:30	63.108279408	65.63863839999999	15	1	0	0	0	0
2024-10-15 22:15:40	62.092569488	63.708753852	15	1	0	0	0	0
2024-10-15 22:15:50	62.703114256	64.80702360000001	15	1	0	0	0	0
2024-10-15 22:16:00	62.303386068	64.091299816	15	1	0	0	0	0
2024-10-15 22:16:10	63.51120074	66.4396104	15	1	0	0	0	0
2024-10-15 22:16:20	61.88917394	63.365580800000004	15	1	0	0	0	0
2024-10-15 22:16:30	62.426557744	64.340236616	15	1	0	0	0	0
2024-10-15 22:16:40	62.24613644	63.975866092000004	15	1	0	0	0	0
2024-10-15 22:16:50	62.624236352000004	64.6796504	15	1	0	0	0	0
2024-10-15 22:17:00	62.553644	64.54525835199999	15	1	0	0	0	0
2024-10-15 22:17:10	62.298480388	64.0729872	15	1	0	0	0	0
2024-10-15 22:17:20	62.606670928	64.6140956	15	1	0	0	0	0
2024-10-15 22:17:30	63.243213184	65.8444392	15	1	0	0	0	0
2024-10-15 22:17:40	61.949776304	63.381730964	15	1	0	0	0	0
