PROCESSDATA	RHT.7050-342_FIC60101 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-07-01 21:55:00	751
tagname	LYCDU.RHT.7050-342_FIC60101.MV	LYCDU.RHT.7050-342_FIC60101.PV	LYCDU.RHT.7050-342_FIC60101.SV	LYCDU.RHT.7050-342_FIC60101.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D-601汽包给水流量控制_OP	D-601汽包给水流量控制_PV	D-601汽包给水流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=10.356255	fsMin=0	fsGridNum=10	fdMax=10.356255tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-07-01 21:55:00	13.98797	2.330939	2.326463	1	0	0	0	0
2024-07-01 21:55:10	13.91298	2.327434	2.295053	1	0	0	0	0
2024-07-01 21:55:20	13.97236	2.327083	2.342931	1	0	0	0	0
2024-07-01 21:55:30	14.00204	2.328836	2.347461	1	0	0	0	0
2024-07-01 21:55:40	14.00204	2.328836	2.347461	1	0	0	0	0
2024-07-01 21:55:50	14.00204	2.332692	2.308644	1	0	0	0	0
2024-07-01 21:56:00	14.00204	2.332166	2.363377	1	0	0	0	0
2024-07-01 21:56:10	14.00204	2.332166	2.364239	1	0	0	0	0
2024-07-01 21:56:20	14.00204	2.331466	2.373062	1	0	0	0	0
2024-07-01 21:56:30	14.03872	2.331291	2.35913	1	0	0	0	0
2024-07-01 21:56:40	14.03872	2.331291	2.35913	1	0	0	0	0
2024-07-01 21:56:50	14.11208	2.331641	2.322442	1	0	0	0	0
2024-07-01 21:57:00	14.16478	2.344736	2.391054	1	0	0	0	0
2024-07-01 21:57:10	14.27018	2.349957	2.393053	1	0	0	0	0
2024-07-01 21:57:20	14.33138	2.344038	2.41197	1	0	0	0	0
2024-07-01 21:57:30	14.36198	2.345601	2.405525	1	0	0	0	0
2024-07-01 21:57:40	14.36198	2.354644	2.373718	1	0	0	0	0
2024-07-01 21:57:50	14.36198	2.352215	2.335562	1	0	0	0	0
2024-07-01 21:58:00	14.36198	2.352215	2.335562	1	0	0	0	0
2024-07-01 21:58:10	14.39194	2.350652	2.321249	1	0	0	0	0
2024-07-01 21:58:20	14.54822	2.355162	2.340003	1	0	0	0	0
2024-07-01 21:58:30	14.5672	2.358802	2.355449	1	0	0	0	0
2024-07-01 21:58:40	14.50881	2.360879	2.37712	1	0	0	0	0
2024-07-01 21:58:50	14.50881	2.36537	2.368513	1	0	0	0	0
2024-07-01 21:59:00	14.54457	2.367097	2.374096	1	0	0	0	0
2024-07-01 21:59:10	14.61608	2.366062	2.393867	1	0	0	0	0
2024-07-01 21:59:20	14.61608	2.366062	2.393867	1	0	0	0	0
2024-07-01 21:59:30	14.61608	2.370198	2.393867	1	0	0	0	0
2024-07-01 21:59:40	14.61608	2.364508	2.424978	1	0	0	0	0
2024-07-01 21:59:50	14.92664	2.379291	2.4126	1	0	0	0	0
2024-07-01 22:00:00	15.08192	2.389926	2.401939	1	0	0	0	0
2024-07-01 22:00:10	15.08192	2.396414	2.392995	1	0	0	0	0
2024-07-01 22:00:20	15.08192	2.396414	2.392995	1	0	0	0	0
2024-07-01 22:00:30	15.08192	2.396414	2.386549	1	0	0	0	0
2024-07-01 22:00:40	15.28151	2.396414	2.470842	1	0	0	0	0
2024-07-01 22:00:50	15.28151	2.405928	2.43901	1	0	0	0	0
2024-07-01 22:01:00	15.28151	2.410007	2.42681	1	0	0	0	0
2024-07-01 22:01:10	15.28151	2.408651	2.434242	1	0	0	0	0
2024-07-01 22:01:20	15.38381	2.410684	2.44806	1	0	0	0	0
2024-07-01 22:01:30	15.43496	2.413561	2.457391	1	0	0	0	0
2024-07-01 22:01:40	15.43496	2.417282	2.462235	1	0	0	0	0
2024-07-01 22:01:50	15.43496	2.417619	2.44872	1	0	0	0	0
2024-07-01 22:02:00	15.43496	2.417619	2.44872	1	0	0	0	0
2024-07-01 22:02:10	15.46358	2.41745	2.433993	1	0	0	0	0
2024-07-01 22:02:20	15.67756	2.420151	2.442322	1	0	0	0	0
2024-07-01 22:02:30	15.78038	2.424867	2.454457	1	0	0	0	0
2024-07-01 22:02:40	15.82928	2.430926	2.454457	1	0	0	0	0
2024-07-01 22:02:50	15.82928	2.43294	2.462745	1	0	0	0	0
2024-07-01 22:03:00	15.87176	2.433612	2.46233	1	0	0	0	0
2024-07-01 22:03:10	15.87176	2.433612	2.46233	1	0	0	0	0
2024-07-01 22:03:20	15.95671	2.43294	2.453211	1	0	0	0	0
2024-07-01 22:03:30	15.95671	2.438808	2.458176	1	0	0	0	0
2024-07-01 22:03:40	15.95671	2.439477	2.430262	1	0	0	0	0
2024-07-01 22:03:50	16.04651	2.447825	2.465061	1	0	0	0	0
2024-07-01 22:04:00	16.0914	2.452166	2.469132	1	0	0	0	0
2024-07-01 22:04:10	16.0914	2.452499	2.442476	1	0	0	0	0
2024-07-01 22:04:20	16.0914	2.452499	2.442476	1	0	0	0	0
2024-07-01 22:04:30	16.0914	2.45383	2.438635	1	0	0	0	0
2024-07-01 22:04:40	16.0914	2.45998	2.442662	1	0	0	0	0
2024-07-01 22:04:50	16.0914	2.456324	2.459428	1	0	0	0	0
2024-07-01 22:05:00	16.0914	2.455327	2.457043	1	0	0	0	0
2024-07-01 22:05:10	16.0914	2.45699	2.435505	1	0	0	0	0
2024-07-01 22:05:20	16.05527	2.453996	2.43938	1	0	0	0	0
2024-07-01 22:05:30	16.0372	2.453497	2.4209	1	0	0	0	0
2024-07-01 22:05:40	16.0372	2.455494	2.380065	1	0	0	0	0
2024-07-01 22:05:50	16.0372	2.455494	2.380065	1	0	0	0	0
2024-07-01 22:06:00	15.98593	2.451164	2.426289	1	0	0	0	0
2024-07-01 22:06:10	15.9603	2.451499	2.488664	1	0	0	0	0
2024-07-01 22:06:20	15.87147	2.443485	2.482436	1	0	0	0	0
2024-07-01 22:06:30	15.82706	2.438975	2.450686	1	0	0	0	0
2024-07-01 22:06:40	15.82706	2.437971	2.393413	1	0	0	0	0
2024-07-01 22:06:50	15.82706	2.43864	2.39467	1	0	0	0	0
2024-07-01 22:07:00	15.82706	2.43864	2.39467	1	0	0	0	0
2024-07-01 22:07:10	15.82706	2.438305	2.40715	1	0	0	0	0
2024-07-01 22:07:20	15.82706	2.438305	2.386945	1	0	0	0	0
2024-07-01 22:07:30	15.75264	2.435956	2.382192	1	0	0	0	0
2024-07-01 22:07:40	15.60382	2.429918	2.416593	1	0	0	0	0
2024-07-01 22:07:50	15.51172	2.422169	2.42405	1	0	0	0	0
2024-07-01 22:08:00	15.46568	2.417788	2.412763	1	0	0	0	0
2024-07-01 22:08:10	15.46568	2.416775	2.382732	1	0	0	0	0
2024-07-01 22:08:20	15.46568	2.417113	2.3726	1	0	0	0	0
2024-07-01 22:08:30	15.46568	2.417113	2.3726	1	0	0	0	0
2024-07-01 22:08:40	15.44131	2.416436	2.380558	1	0	0	0	0
2024-07-01 22:08:50	15.39259	2.416099	2.396782	1	0	0	0	0
2024-07-01 22:09:00	15.39259	2.415083	2.374602	1	0	0	0	0
2024-07-01 22:09:10	15.39259	2.4117	2.340066	1	0	0	0	0
2024-07-01 22:09:20	15.39259	2.414069	2.391084	1	0	0	0	0
2024-07-01 22:09:30	15.39259	2.4139	2.414202	1	0	0	0	0
2024-07-01 22:09:40	15.39259	2.4139	2.414202	1	0	0	0	0
2024-07-01 22:09:50	15.39259	2.411192	2.40942	1	0	0	0	0
2024-07-01 22:10:00	15.39259	2.412547	2.439205	1	0	0	0	0
2024-07-01 22:10:10	15.39259	2.413224	2.424987	1	0	0	0	0
2024-07-01 22:10:20	15.44229	2.416605	2.420636	1	0	0	0	0
2024-07-01 22:10:30	15.46714	2.418295	2.428565	1	0	0	0	0
2024-07-01 22:10:40	15.46714	2.418295	2.448775	1	0	0	0	0
