PROCESSDATA	2#CDU.7040-311_FIC31102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-27 21:55:00	751
tagname	LYCDU.CDU.7040-311_FIC31102.MV	LYCDU.CDU.7040-311_FIC31102.PV	LYCDU.CDU.7040-311_FIC31102.SV	LYCDU.CDU.7040-311_FIC31102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	过热蒸汽入C_301线_OP	过热蒸汽入C_301线_PV	过热蒸汽入C_301线_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.340597	fsMin=0	fsGridNum=10	fdMax=1.340597tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-27 21:55:00	5.161448	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 21:55:10	5.161448	0.3036972	0.3038403	1	0	0	0	0
2024-06-27 21:55:20	5.161448	0.3036972	0.3038403	1	0	0	0	0
2024-06-27 21:55:30	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:55:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:55:50	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:00	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:20	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:30	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:56:50	5.161448	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 21:57:00	5.161448	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 21:57:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:57:20	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:57:30	5.161448	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 21:57:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:57:50	5.161448	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 21:58:00	5.161448	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 21:58:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:58:20	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:58:30	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:58:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:58:50	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:00	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:20	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:30	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 21:59:50	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:00	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:20	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:30	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:40	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:00:50	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:01:00	5.161448	0.3032522	0.3038403	1	0	0	0	0
2024-06-27 22:01:10	5.161448	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:01:20	5.161448	0.3032522	0.3038403	1	0	0	0	0
2024-06-27 22:01:30	5.161448	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:01:40	5.161448	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:01:50	5.161448	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:02:00	5.161448	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:02:10	5.161448	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:02:20	5.161448	0.3036081	0.3038403	1	0	0	0	0
2024-06-27 22:02:30	5.161448	0.3036081	0.3038403	1	0	0	0	0
2024-06-27 22:02:40	5.161448	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:02:50	5.161448	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:03:00	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:03:10	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:03:20	5.161448	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:03:30	5.161448	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:03:40	5.161448	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:03:50	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:00	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:10	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:20	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:30	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:40	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:04:50	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:05:00	5.161448	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:05:10	5.161448	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:05:20	5.161448	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:05:30	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:05:40	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:05:50	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:06:00	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:06:10	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:06:20	5.161448	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:06:30	5.161448	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:06:40	5.161448	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:06:50	5.161448	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:07:00	5.178537	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:07:10	5.178537	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:07:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:07:30	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:07:40	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:07:50	5.212718	0.3032522	0.3038403	1	0	0	0	0
2024-06-27 22:08:00	5.212718	0.3032522	0.3038403	1	0	0	0	0
2024-06-27 22:08:10	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:08:20	5.212718	0.3039637	0.3038403	1	0	0	0	0
2024-06-27 22:08:30	5.212718	0.3039637	0.3038403	1	0	0	0	0
2024-06-27 22:08:40	5.212718	0.3039637	0.3038403	1	0	0	0	0
2024-06-27 22:08:50	5.212718	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 22:09:00	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:09:10	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:09:20	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:09:30	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:09:40	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:09:50	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:10:00	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:10:10	5.212718	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 22:10:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:30	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:40	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:50	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:00	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:10	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:30	5.212718	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:11:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:11:50	5.212718	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:12:00	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:10	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:30	5.212718	0.303074	0.3038403	1	0	0	0	0
2024-06-27 22:12:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:12:50	5.212718	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:13:00	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:13:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:13:20	5.212718	0.3029851	0.3038403	1	0	0	0	0
2024-06-27 22:13:30	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:13:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:13:50	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:14:00	5.212718	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:14:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:20	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:30	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:40	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:50	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:00	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:20	5.246986	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:30	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:40	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:50	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:00	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:10	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:20	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:30	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:40	5.264121	0.3028069	0.3038403	1	0	0	0	0
