PROCESSDATA	2111FIC46005 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-01 21:55:00	751
tagname	2111FIC46005.MV	2111FIC46005.PV	2111FIC46005.SV	2111FIC46005.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	低低压蒸汽自F301至C420_OP	低低压蒸汽自F301至C420_PV	低低压蒸汽自F301至C420_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6474154699999985	fsMin=0	fsGridNum=10	fdMax=1.6474154699999985tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-01 21:55:00	72.327150684	960.879676	970	1	0	0	0	0
2024-09-01 21:55:10	72.364424312	960.70208048	970	1	0	0	0	0
2024-09-01 21:55:20	72.406926496	960.01170696	970	1	0	0	0	0
2024-09-01 21:55:30	72.4511844	959.806792	970	1	0	0	0	0
2024-09-01 21:55:40	72.476564936	960.0565760000001	970	1	0	0	0	0
2024-09-01 21:55:50	72.522069416	959.5294719999999	970	1	0	0	0	0
2024-09-01 21:56:00	72.5491488	959.653312	970	1	0	0	0	0
2024-09-01 21:56:10	72.59582826399999	958.62236	970	1	0	0	0	0
2024-09-01 21:56:20	72.6294324	959.9035719999999	970	1	0	0	0	0
2024-09-01 21:56:30	72.66610232000001	959.7524770399999	970	1	0	0	0	0
2024-09-01 21:56:40	72.69004731599999	959.837032	970	1	0	0	0	0
2024-09-01 21:56:50	72.73118960000001	960.3491	970	1	0	0	0	0
2024-09-01 21:57:00	72.72476359999999	963.33183716	970	1	0	0	0	0
2024-09-01 21:57:10	72.623537736	970.6018599600001	970	1	0	0	0	0
2024-09-01 21:57:20	72.595274936	971.61402468	970	1	0	0	0	0
2024-09-01 21:57:30	72.5864904	971.781356	970	1	0	0	0	0
2024-09-01 21:57:40	72.58018487999999	972.5365941599999	970	1	0	0	0	0
2024-09-01 21:57:50	72.56106036	972.757688	970	1	0	0	0	0
2024-09-01 21:58:00	72.5353288	973.729128	970	1	0	0	0	0
2024-09-01 21:58:10	72.5330776	973.43032968	970	1	0	0	0	0
2024-09-01 21:58:20	72.5191172	972.9232546	970	1	0	0	0	0
2024-09-01 21:58:30	72.51137634	973.10715056	970	1	0	0	0	0
2024-09-01 21:58:40	72.5004248	973.52988256	970	1	0	0	0	0
2024-09-01 21:58:50	72.49361634	972.96381352	970	1	0	0	0	0
2024-09-01 21:59:00	72.489658624	973.01239236	970	1	0	0	0	0
2024-09-01 21:59:10	72.4739612	973.3855759999999	970	1	0	0	0	0
2024-09-01 21:59:20	72.4524388	973.8886187200001	970	1	0	0	0	0
2024-09-01 21:59:30	72.4503524	973.29731216	970	1	0	0	0	0
2024-09-01 21:59:40	72.43115688	973.2277590799999	970	1	0	0	0	0
2024-09-01 21:59:50	72.4163956	973.8095880000001	970	1	0	0	0	0
2024-09-01 22:00:00	72.40193484	973.72723172	970	1	0	0	0	0
2024-09-01 22:00:10	72.3843944	974.098648	970	1	0	0	0	0
2024-09-01 22:00:20	72.356047704	974.814708	970	1	0	0	0	0
2024-09-01 22:00:30	72.3516824	973.8692196000001	970	1	0	0	0	0
2024-09-01 22:00:40	72.330402	974.7403190399999	970	1	0	0	0	0
2024-09-01 22:00:50	72.3215036	974.00589744	970	1	0	0	0	0
2024-09-01 22:01:00	72.3063736	974.054012	970	1	0	0	0	0
2024-09-01 22:01:10	72.298574	973.35880344	970	1	0	0	0	0
2024-09-01 22:01:20	72.284643736	973.3720519999999	970	1	0	0	0	0
2024-09-01 22:01:30	72.284483648	972.8141355199999	970	1	0	0	0	0
2024-09-01 22:01:40	72.2667296	973.1277365999999	970	1	0	0	0	0
2024-09-01 22:01:50	72.2717848	972.50518572	970	1	0	0	0	0
2024-09-01 22:02:00	72.25907240000001	972.86382588	970	1	0	0	0	0
2024-09-01 22:02:10	72.243376544	972.9852199999999	970	1	0	0	0	0
2024-09-01 22:02:20	72.230514	973.19305504	970	1	0	0	0	0
2024-09-01 22:02:30	72.22205439999999	972.5070946	970	1	0	0	0	0
2024-09-01 22:02:40	72.208973376	972.7628000000001	970	1	0	0	0	0
2024-09-01 22:02:50	72.19799085918368	973.6639591836735	970	1	0	0	0	0
2024-09-01 22:03:00	72.18708840000001	973.590536	970	1	0	0	0	0
2024-09-01 22:03:10	72.156211464	974.56732	970	1	0	0	0	0
2024-09-01 22:03:20	72.1509056	973.8684992	970	1	0	0	0	0
2024-09-01 22:03:30	72.1339452	974.195488	970	1	0	0	0	0
2024-09-01 22:03:40	72.121314068	973.98064456	970	1	0	0	0	0
2024-09-01 22:03:50	72.10728677959183	973.7271340204081	970	1	0	0	0	0
2024-09-01 22:04:00	72.090870448	974.291848	970	1	0	0	0	0
2024-09-01 22:04:10	72.087033952	973.397004	970	1	0	0	0	0
2024-09-01 22:04:20	72.080890048	972.94343956	970	1	0	0	0	0
2024-09-01 22:04:30	72.0756192	973.27721984	970	1	0	0	0	0
2024-09-01 22:04:40	72.068927032	972.51856672	970	1	0	0	0	0
2024-09-01 22:04:50	72.05427018775511	972.2237435714285	970	1	0	0	0	0
2024-09-01 22:05:00	72.050091896	972.12446152	970	1	0	0	0	0
2024-09-01 22:05:10	72.04030608	972.56889216	970	1	0	0	0	0
2024-09-01 22:05:20	72.036184	972.50160796	970	1	0	0	0	0
2024-09-01 22:05:30	72.04084934	971.274188	970	1	0	0	0	0
2024-09-01 22:05:40	72.18398992	961.463716	970	1	0	0	0	0
2024-09-01 22:05:50	72.23715814	960.83589848	970	1	0	0	0	0
2024-09-01 22:06:00	72.282481824	959.811464	970	1	0	0	0	0
2024-09-01 22:06:10	72.313838624	960.1054003200001	970	1	0	0	0	0
2024-09-01 22:06:20	72.34207752	960.05588364	970	1	0	0	0	0
2024-09-01 22:06:30	72.36891835200001	960.7215276	970	1	0	0	0	0
2024-09-01 22:06:40	72.416781112	960.3566204	970	1	0	0	0	0
2024-09-01 22:06:50	72.46302157894736	959.3540654035087	970	1	0	0	0	0
2024-09-01 22:07:00	72.50125462040816	959.3124671836734	970	1	0	0	0	0
2024-09-01 22:07:10	72.53869200000001	958.7518902400001	970	1	0	0	0	0
2024-09-01 22:07:20	72.575661288	959.01748	970	1	0	0	0	0
2024-09-01 22:07:30	72.6051712	959.8364278	970	1	0	0	0	0
2024-09-01 22:07:40	72.635120968	960.083768	970	1	0	0	0	0
2024-09-01 22:07:50	72.65623760000001	960.1253519999999	970	1	0	0	0	0
2024-09-01 22:08:00	72.69964440000001	960.4983041600001	970	1	0	0	0	0
2024-09-01 22:08:10	72.717326	961.4165482799999	970	1	0	0	0	0
2024-09-01 22:08:20	72.705202	965.5281254	970	1	0	0	0	0
2024-09-01 22:08:30	72.527664	976.3949891599999	970	1	0	0	0	0
2024-09-01 22:08:40	72.5074436	975.69217872	970	1	0	0	0	0
2024-09-01 22:08:50	72.49027919999999	975.96484176	970	1	0	0	0	0
2024-09-01 22:09:00	72.4755476	975.2997884	970	1	0	0	0	0
2024-09-01 22:09:10	72.462293064	974.70747896	970	1	0	0	0	0
2024-09-01 22:09:20	72.44717320000001	974.99314	970	1	0	0	0	0
2024-09-01 22:09:30	72.4302232	974.7274980000001	970	1	0	0	0	0
2024-09-01 22:09:40	72.429596	974.50996	970	1	0	0	0	0
2024-09-01 22:09:50	72.417104	973.7472839999999	970	1	0	0	0	0
2024-09-01 22:10:00	72.40644214400001	973.53403016	970	1	0	0	0	0
2024-09-01 22:10:10	72.397632136	973.369056	970	1	0	0	0	0
2024-09-01 22:10:20	72.3887472	972.72258456	970	1	0	0	0	0
2024-09-01 22:10:30	72.385792128	972.5813610399999	970	1	0	0	0	0
2024-09-01 22:10:40	72.37348504799999	972.5253319999999	970	1	0	0	0	0
2024-09-01 22:10:50	72.3668442	972.349044	970	1	0	0	0	0
